"","docid","text","person_id","first_name","last_name","date","Party","Constituency","label"
"754","text47018","The UK Government have provided unprecedented levels of support to families and employers throughout the covid crisis. We want to see a prospering economy that reduces child poverty. Welfare is a devolved matter in Northern Ireland, with no official statistical information yet available on its impact in the current year. However, the Northern Ireland Executive are committed to combating poverty via the anti-poverty and child poverty strategies, which were agreed in “New Decade, New Approach”.",24862,"Robin","Walker","04/11/2020","Conservative","Worcester",3
"755","text45506","Under the cover of covid, the Department has been pushing councils to bypass normal procedures in order to rush in anti-car road-blocking measures. Two fine examples are on the dual carriageway in Smethwick, Tollhouse Way, and in London on the route to the M40 at Park Lane. These are creating traffic jams, longer journey times, and increasing pollution. When is the Secretary of State going to get a grip on this situation and get our roads moving again?",10558,"John","Spellar","22/10/2020","Labour","Warley",3
"756","text24812","Our food and drink sector is vital to our economy. In 2019, exports increased by nearly 5% to £23.7 billion. We want to see that success continue and will shortly be launching a bounce back strategy for the industry as the world recovers from covid-19.",11406,"Graham","Stuart","18/06/2020","Conservative","Beverley and Holderness",3
"757","text48948","Thank you, Madam Deputy Speaker, for granting me this Adjournment debate to commemorate the 80th anniversary of the November 1940 bombing of Coventry.The Coventry blitz was, of course, a defining moment in the history of my city, bringing both great hardship and change to Coventry. It is also, I feel, an important event to recall during the current pandemic. In this year of great hardship, many have sought to look back at the blitz as a blueprint for how communities can come together and overcome the toughest of circumstances. I am sure that all would agree that Coventry, the phoenix city which rose from the rubble to post-war success, is an inspirational tale for this time.As a key centre of wartime production, Coventry, a pioneering engineering and manufacturing city, was a prime target. Indeed, prior to the air raid on 14 November, Coventry had already been the victim of a number of smaller air raids. But the events of 14 November 1940 were different. Over 11 hours, nearly 500 bombers dropped over 500 tonnes of high explosives, 30,000 incendiaries, and 50 landmines on the city. The sheer scale of the destruction would lead to the Germans inventing a new word, Coventration or to Coventrate, to describe the level of devastation. In that one night, just over half the city’s housing stock, approximately 43,000 houses, were damaged or destroyed. There was also widespread damage to factories, shops, workplaces and, as it was in the centre of the city, civic buildings. Most famously, an incendiary device landed on Coventry’s cathedral, destroying the medieval church of St Michael’s. On a visit to the city following the bombing, King George VI is said to have wept as he surveyed the ruins.There was also an incredibly high human cost. The official death toll from the night was 554 people. A further 865 people were seriously injured. Among the disruption and the building rubble, many more were never accounted for.",25319,"Colleen","Fletcher","11/11/2020","Labour","Coventry North East",3
"758","text30956","No, I am not giving way.But four years later, the Brexit blockers are still at it. The majority of people in Ashfield and the first-time voters are not happy with them. Even the remain voters  are not happy with them. We are all democrats and we should respect that. My voters were not happy with the Labour party last December when the people of Ashfield voted me in, and many of my colleagues across the midlands and the north. Just after the election, Labour started knocking on doors in Ashfield to ask why its voters had left it. I was sort of hoping that there would be more Labour MPs here today, but perhaps they have some extra guidelines on social distancing — that is probably why they are not here. Imagine ignoring your core voters for four years and then telling them that they did not know what they were voting for, or that we should have a confirmatory second vote, and then telling them that no one voted for a hard Brexit, a no-deal Brexit or any other type of Brexit. The people of Ashfield voted for Brexit, deal or no deal. The fact that the SNP is now using covid as another excuse to prolong the agony just shows how low it is prepared to sink. But we still do not know what the Labour party’s policy is on this — perhaps in a couple of years’ time Captain Hindsight will tell us all.The good news is that I have some oven-ready advice for the Labour party. It needs to start knocking on doors before an election and actually asking people what they want rather than telling them what they should want. It was easy for me: I asked the voters, “What do you want?”, and they answered, “Get Brexit done.” I promised to get it done, they voted for me, and here I am, eight months later, after decades — ",25894,"Lee","Anderson","15/07/2020","Conservative","Ashfield",3
"759","text53449","After much soul searching, I will vote with the Government tonight, but it has been a difficult decision. I will vote with the Government for the following reasons. First, I have always advocated a regional approach as opposed to a national approach, and that is exactly what we are doing.Secondly, the vaccine is close — it is not certain, but it is close — so we should not jeopardise all our gains when we will potentially have the vaccine within a few months.Thirdly, clearly we are coming out of lockdown, so although my constituency will be in tier 2 and I have lobbied for it to be in tier 1, the restrictions will be less. However, I will continue to lobby for my constituency’s tier to be reviewed and for us to come out in a lesser tier. Once we roll out the vaccine to the elderly and the vulnerable, I will ask for restrictions to go, because we need to get life back to normal.We need to be able to manage risks. We have been absolute about our only focus being coronavirus. Clearly, we do not want anyone to die or suffer from coronavirus, but we need to think about the implications of what we are doing for not only the economy but non-covid health issues. There are parameters within which we can do that analysis, such as quality of life indicators.I wish to make one final point. I have heard various Opposition Members saying that London in some way got special treatment to be in tier 2. That is absolutely not the case. If Members look at the 26 November NHS — ",25891,"Felicity","Buchan","01/12/2020","Conservative","Kensington",2
"760","text69020","Driving tests are among the many things for which there is a big backlog due to the pandemic. I know that because my children are desperate to take their driving tests — or will be shortly. We are  doing everything we can to bring them forward, particularly so that people who have already taken their theory test do not end up in a position where they have to pay again. We are doing everything we can. We have already extended the period of time. We have an issue in that we do not want people to take their practical test with a theory test that is so old that it would create new dangers on the roads, but I will look carefully at what the hon. Gentleman has to say.",11917,"Grant","Shapps","11/03/2021","Conservative","Welwyn Hatfield",3
"761","text32724","During this pandemic, much of the focus has been on public health, the safety of workers and our economy, and rightfully so. This virus has heightened concerns about our health and many are wondering how they will put money on the table. However, in amongst the stress and worry, the virus has shown more than ever the need for joy and entertainment, relaxation and fun, socialisation and connections. For me, this means music.Music is an incredible thing. It creates happiness and inspires hope. It tells of love and community. It gives voice to protest. At times, it inspires us to dance and sing along. Music puts words and sounds to every emotion and every cause. For many — myself included — music has been such a big part of lockdown, and at a time when people’s mental wellbeing has been under enormous stress and loneliness is widespread, music has often been a common source of support. For those who live alone, it has filled their homes with sound, brought back memories of happier times and kept them going throughout.I have had huge enjoyment listening to some of my favourite artists performing online gigs, such as KT Tunstall, James and a special concert of Irish musicians in support of the Irish stuck in Australia on temporary visas during this pandemic. On top of that, Durham music service has been teaching songs and how to play instruments to children across the county. I have even signed up to its online ukulele sessions.",25833,"Mary","Foy","22/07/2020","Labour","City of Durham",3
"762","text60178","A leading Oxford-based professor of microbiology today described covid as “the short, sharp earthquake” and antimicrobial resistance as“the massive tsunami in the background.”On the basis that AMR in pigs and chickens has trebled in developing nations since 2000, will my hon. Friend press for more action to limit the unnecessary use of antibiotics in humans, pigs and chickens?",25415,"Kevin","Hollinrake","19/01/2021","Conservative","Thirsk and Malton",3
"763","text39791","Will the Secretary of State confirm that a proportionate response means that students have a right to their course and to face-to-face education? All of us, including older people such as myself, must take personal responsibility. We cannot destroy the life chances of the young. If someone is doing a history degree, they cannot be condemned to permanent online teaching. They might as well sit at home; why have they paid all that money? Will he confirm that, of course, students must self-isolate if they get ill, but we cannot have whole halls of residence being locked down? That is not the sort of university that we all want — a place of light and learning, not enforced lockdowns.",10352,"Edward","Leigh","29/09/2020","Conservative","Gainsborough",2
"764","text44727","The Government’s economic support packages have been some of the most generous anywhere, and they have been essential sticking plasters from which many of our constituents have benefited. However, given that covid may be with us for some time and that the economy is in transition, may I encourage the Government to think more strategically and perhaps draw lessons from, for example, Margaret Thatcher’s enterprise allowance scheme, which helped hundreds of thousands of people, over some years, to transition from unemployment to self-employment?",10715,"John","Baron","20/10/2020","Conservative","Basildon and Billericay",3
"765","text25446","The most recent performance data published by NHS England for April 2020 shows an 8% reduction in the size of the waiting lists compared with April 2019, from 4,297,571 to 3,942,748. However, it is important to note that reduced referrals due to covid-19 are likely to be the cause of that, and there are a number of people waiting longer.",25396,"Edward","Argar","23/06/2020","Conservative","Charnwood",3
"766","text59821","What steps his Department is taking to ensure the adequacy of remote education for children during the covid-19 lockdown. ",25811,"Tom","Hunt","18/01/2021","Conservative","Ipswich",3
"767","text38417","I congratulate the hon. Member for Westmorland and Lonsdale (Tim Farron) on securing this urgent question. The Government have taken unprecedented action to support renters by banning evictions for six months, preventing people from getting into financial hardship and helping businesses to pay salaries. We have boosted the welfare safety net and increased the local housing allowance rates to cover the lowest 30% of market rents. We have made available £180 million for the discretionary housing payments this year, for local councils to distribute to support those renters who require additional support. We have now introduced comprehensive measures to ensure that renters continue to be protected over the autumn and winter, following the resumption of possession proceedings on Monday.However, we must strike a balance so that landlords are able to access justice alongside measures to protect the vulnerable. That is vital to the long-term health of the private rented sector. We have worked with the judiciary to put in place new court arrangements that seek to ensure appropriate support to all parties within the current statutory framework. The judiciary will look to prioritise the most serious cases, including antisocial behaviour, fraud and egregious rent arrears. New court rules also require landlords to reactivate any claim they have made before 3 August and to provide information to the court on the effect of the covid-19 pandemic on the tenant and their dependants. A court would be likely to take a very dim view of any landlord who tried to circumvent this requirement or mislead the court by not disclosing relevant information where known.To help to keep people in their homes over the winter, we have changed the law, increasing notice periods to six months in all but the most serious cases. Tenants now served notice will not be required to move over winter, while landlords will be empowered to take action where necessary — for example, where a tenant’s antisocial behaviour severely affects their neighbours’ quality of life. To further support renters, guidance has been issued to bailiffs by my right hon. and learned Friend the Lord Chancellor to ensure that possession orders are not enforced in areas where lockdown restrictions are in place or over the Christmas period, except in the most serious circumstances.Our package strikes a fair balance, supporting landlords to act in the most serious cases while keeping the public, including renters, safe. Comprehensive guidance has been published for landlords and tenants to explain these new arrangements and the possession process in courts. The Government are clear that all these measures are to protect renters over this period. They are kept under constant review in the light of evidence on public health, and we are prepared to take further measures as they are needed to protect landlords and tenants alike.",24747,"Christopher","Pincher","23/09/2020","Conservative","Tamworth",3
"768","text66952","The Minister has done the heavy lifting in this debate by explaining to us the detail of the regulation before us. She has also explained very succinctly why it is necessary to operate the calculations concerning the operational budgets both for the CfD counterparty body and for the settlement body as far as the capacity market is concerned on a one-year basis rather than a three-year basis, as has previously been the case in the House. The reason is that the operational levy costs rate for both bodies is effectively calculated by dividing a proposed annual budget by the total forecast electricity demand for the future. Under present circumstances, we are finding it very difficult to find out what electricity demand will be for the next year given the substantial fluctuations in demand that have occurred with the covid pandemic. Consequently, it seems sensible to allocate the total operational budgets for these bodies on a one-year basis, rather than on a three-year basis as has happened since 2018. The arrangement from 2018 onwards aimed to ensure that suppliers had no surprises, and had a much better view of their liability in respect of these operational budgets, because those budgets are recovered by levies on suppliers, and as I will state in a moment, those levies are passed on to customers. We do not oppose this statutory instrument, because in the circumstances it is sensible.My first question for the Minister relates to her intentions regarding the periodicity of this arrangement in future years. I assume it is her intention to revert to a three-year settlement at the earliest opportunity, that this proposed one-year arrangement is because of the force of present circumstances, and that there is no suggestion by the Government that we should go back to the pre-2018 arrangements. I would be grateful if she stated that very clearly for us this afternoon.The second question I have for the Minister relates to the method for recovering these operational budgets. We have already talked about how it works; the operational costs are recovered from suppliers according to the calculations I have described. Those costs — the Minister has set the CfD counterparty budget costs at £20.7 million for this year — are recovered by the levy on suppliers, and the suppliers pass those costs on to customers, which means that customers’ bills go up. This is not an enormous part of the whole levy process, but it is not an insignificant part of it; it is calculated that the cost for the CfD counterparty body alone will add something like 40p to customer bills this next year. Indeed, there is quite a startling rise since the previous period of settlement. My calculations are that there will be about a 17.5% rise this year.As we progress with the auctions, and progress down the road towards the 40 GW of offshore wind by 2030, to which we have committed, inevitably those operational costs will rise substantially, so the levy will also rise substantially. Whether it will continue to rise by 17% a year I am not sure, but certainly that is a very substantial increase, and I suspect those increases will continue over the period.In addition to this, in the White Paper that has just been published, a new levy is suggested on gas bill payers to facilitate the development of green gas, anaerobic digestion and associated activities. I thoroughly support that development, but not necessarily raising the money for it by a continuation of the levy mechanism.Finally, if we do go ahead with the regulated asset base arrangement as far as nuclear power is concerned, that will create a huge additional levy on bill payers for the future. We have a pattern here of levies being put on customers’ bills to underwrite these activities. I happily concede that it is certainly a very small levy compared with others, but I think the Minister would agree that every little bit adds up. We have a picture in front of us, potentially, of a very substantial increase in customers’ bills to pay for these sorts of arrangements.When the Minister reviews the arrangement at the end of the one-year hiatus, what will her thinking be on whether there are different ways of paying for those counterparty costs? Will the answer always be a levy on customers, or are there other ways of facilitating this, so that the cost does not fall on the customer? I think she will agree that that is probably the most regressive way of funding these arrangements; there are certainly better ways. It may be that the matters before us should be subject to one of those better ways.",10630,"Alan","Whitehead","01/03/2021","Labour","Southampton, Test",3
"769","text45848","The Government and the whole of British society have made an amazing response to covid and to the challenge that we have faced. We knew very little about it at the beginning, but we have evolved and adapted with time. Society now is so different — who would have believed at the beginning that we would be in this position now, sanitising our hands every time we went into a shop, wearing masks and socially distancing?We know far more today than we did then, and we understand the impact and cost of covid, but we are also in an increasingly good position to understand the cost of the lockdown. We hear figures about millions of cancer screening appointments and tens of millions of GP appointments not being taken up, and we understand far better that in the weeks, months and years ahead there will be a huge cost from the lockdown, but the details have not been adequately explained to the British people as a whole or to right hon. and hon. Members of Parliament. We heard moments ago about colleagues asking questions — quite reasonable, quite straightforward questions — and getting a six-word answer.I have written to the Secretary of State to raise concerns about Bolton, which has been in a particularly difficult position with a rather severe lockdown. Constituents tell me about the impact on their mental health, their physical health and their ability to get treatment — it has a cost. I wrote to the Secretary of State on 29 September to raise concerns that in Bolton borough 20,000 fewer people than last year have had a referral from a GP to hospital. Serious treatments have not been taken up as a result. This is serious — it is life and death — for my constituents, and I think it is replicated around the country.I have yet to receive a response to my letter, but I do have an answer to my written question about what action has been taken in relation to the 20,000 fewer referrals from GPs to hospitals this year than last. The answer that came back was:“No specific assessment has been made.”That is 20,000 people in Bolton as a whole whom GPs think should have a hospital appointment of one form or another. I do not know how many of that 20,000 would be in the category of life or death, but I suspect a very significant number. I suspect that this would be replicated right across the country. To get a six word answer  — “No specific assessment has been made” — to cover  that 20,000 is disappointing to say the least. It is also covering a health time bomb that will explode. That is already happening at the moment. Far more needs to be done so. Will my hon. Friend commit to delivering a covid lockdown health impact assessment for every constituency around the country?",25359,"Chris","Green","22/10/2020","Conservative","Bolton West",3
"770","text59074","Of course, what the right hon. and learned Gentleman fails to point out is that on 18 December, two days later, the Government were informed about the spread of the new variant, and the fact that it spreads roughly 50% to 70% faster than the old variant. That is why it is correct to say that the situation today is very troubling indeed: we have 32,000 covid patients in hospital, and the NHS is under huge strain.I wish to take this opportunity to pay tribute to all the staff, doctors, nurses, and everybody working in our NHS. They are doing an extraordinary job under the most challenging possible circumstances to help those who so desperately need it. I thank them for what they are doing. At the same time, I also wish to thank all those involved in what is the biggest vaccination programme in the history of this country. Once again, the NHS is in the lead, working with the Army and the legion of volunteers and everybody else. That programme of vaccines shows the way forward, and shows how we will come through this pandemic. I repeat my gratitude to all those involved, because they have now vaccinated 2.4 million people and delivered 2.8 million doses, which is more than any other country in Europe. This is the toughest of times, but we can see the way forward.",10999,"Boris","Johnson","13/01/2021","Conservative","Uxbridge and South Ruislip",3
"771","text28680","The Chancellor stated earlier that the job retention scheme is being wound down from the autumn. It is actually being wound down from the start of next month across all sectors at the same time, and we are already seeing the impact of that in very substantial redundancies. The Resolution Foundation called this week for a targeted continuation of the scheme for the hardest hit industries and those areas affected by additional lockdowns. The Chancellor has said he does not want to pick winners, but this health crisis has involved Governments designating losers, quite rightly, for public health reasons, so why is he persisting with the one-size-fits-all removal of the job retention scheme, when this will inevitably lead to additional redundancies?",25618,"Anneliese","Dodds","07/07/2020","Labour/Co-operative","Oxford East",3
"772","text29856","I thank the Ministry for everything it has done during the pandemic to support so many businesses and individuals in our communities. My constituency has a huge number of small businesses, and the district council has now paid out over £41 million to 3,638 businesses, which is a huge undertaking. North Devon boasts a stunning coastline and beautiful countryside, served by market towns whose high streets, like so many, have been transformed by the pandemic. Market towns such as Barnstaple rely on those working in town to pop out at lunchtime for a sandwich or a quick bit of retail therapy. The move for so many to work from home, so many businesses remaining closed and tourists not being back in their normal numbers has meant that, while our shops are open, they are seeing less than 50% of the customers and takings they would expect at this time.Barnstaple is currently working on its revised submission to the future high streets fund, which is another great initiative from the Ministry. A huge amount of work has gone into this locally from our economic development team in North Devon. I thank Sarah-Jane Mackenzie-Shapland, Dominie Dunbrook and the whole team led by Michael Titchford. However, in this fund application, Barnstaple, which has a population of just 31,000, is up against major towns — indeed, one could describe  them as small cities — with populations that far exceed Barnstaple’s, and their council resources swamp those of my hard-working district council team.If Barnstaple is not successful, having already missed out on the towns fund because the structure of the town centre management does not match the required business improvement district, I fear that there will be no funding and our high street will continue with the rapid decline it has seen throughout this pandemic.Moreover, if Barnstaple cannot secure funding, as the largest town in my constituency, what hope is there for Ilfracombe, the next largest, with a population of just 11,000, and listed as one of the 40 most deprived English seaside towns in the recent Radius Data Exchange report, “Turning the tide: seaside regeneration”? The report highlights the decades of underinvestment in  towns like Ilfracombe, and how solutions are available. However, without some funding to help smaller market and coastal towns, our levelling-up agenda will only stretch to major urban conurbations.The situation is further exacerbated in areas like mine, where my district council is small and one of multiple layers of local decision making. This can make applying for and then implementing schemes designed to assist near-impossible, given the limited local resource combined with multiple layers of local government, often with their own competing projects and visions. Indeed, the issues that I highlight are replicated across the south-west peninsula. To enable all of them to succeed, the entire region needs further consideration. We have repeatedly requested to become the “great south-west” and recognise Devon, Cornwall, Dorset and Somerset as a single region so that we can work at a much greater scale in future.",25880,"Selaine","Saxby","09/07/2020","Conservative","North Devon",3
"773","text49679","Testing, backed up by tracing and isolation, is key to avoiding further lockdowns. At the Secretary of State’s press conference yesterday, we heard that tier 1 has had “very little effect” and that the tiers must be strengthened. Can he confirm that it is the Government’s intention to impose a tougher set of restrictions on tier 1 areas post this lockdown?",25120,"Jon","Ashworth","17/11/2020","Labour","Leicester South",1
"774","text62885","My hon. Friend is right to raise the prioritisation of urgent cases. Listing is a judicial function and is a matter for judges, but I know that judges do prioritise the most urgent cases. For example, right from the beginning of the pandemic, domestic violence protection orders were one of those matters that were most prioritised. I hope I can also reassure my hon. Friend by saying that for those most serious Crown court cases where the prisoner was remanded in custody, well over half that had their first hearing in November will have had their substantive trial by July this year.",25377,"Chris","Philp","02/02/2021","Conservative","Croydon South",3
"775","text37373","I thank the Chair and all the other members of the PACAC for this timely report, its fifth report; they have been very assiduous.Her Majesty’s Opposition have responded to this pandemic in a spirit of co-operation that has always put the national interest first, and we are also willing to  work together to ensure the right lessons are learned. The fundamental task of any Government is to protect their citizens’ health and wellbeing, so it is crucial to get this inquiry right. A full, independent public inquiry into the Government’s response to the covid-19 pandemic is essential to ensure that we are better equipped to confront future health emergencies. We also need to ask questions about why Exercise Cygnus was not followed during the pandemic.An emphasis should be placed on the early response to the pandemic, including the factors that might have contributed to a delay in ordering a full lockdown and whether the initial herd immunity strategy was pursued. Members will have been shocked by the disproportionate number of BAME deaths, which were not just confined to people in poverty but included people of all classes, including consultants. Understanding these disparate outcomes should form a central part of the inquiry.The Prime Minister has said that the inquiry should not take place while the pandemic continues. I suggest there be a two-stage inquiry: an initial review followed by a wide-ranging public inquiry. We know that the Government Legal Service can set up inquiries quite quickly and that there are different inquiries taking place. I support the 16 recommendations in the report. It is extremely important that we hold the Government to account, so I agree with the Committee that the Liaison Committee should consider adding the scrutiny of the Government’s responses to public inquiries to the list of core tasks of the Departmental Select Committees. It would be a welcome development. I also think that the four nations should hold their own lessons-learned inquiries, because they all dealt with the pandemic differently.To conclude, I again thank the Committee for its assiduous work. Her Majesty’s Opposition welcome the report.",24852,"Valerie","Vaz","17/09/2020","Labour","Walsall South",1
"776","text69983","How often have we heard the notion that somehow liberty is an integral part of the English character, and that we fortunate few in this country are somehow different from the rest of humanity? Not for us authoritarianism, autocracy or, God forbid, the dark slide into fascism. No, no, no — that is for other people and other countries, not us. Yet here we stand, yet again with yet another Bill from this Government stripping the people of this country of yet more liberty and more of their democratic rights.English exceptionalism is a dangerous fallacy, none more so than when it comes to the constant vigilance required of any democracy. It is hubris of the first order — one I fear has infected those on the Government Benches. The potential for the slide into authoritarianism and worse is, as history has clearly demonstrated, part of the human condition. That is the painful and bloody lesson from the 20th century. Yet here we are, with this Bill before us. It is the tip of an authoritarian iceberg — one that is on a collision course with public defiance.Democracy is being swept away in a calculated programme to leave the public muted and powerless. We have the demonisation of the Gypsy, Traveller and Roma community, a planned voter suppression Bill to strip the right to vote from black and other disadvantaged communities, and the limiting of judicial review to stop the public challenging the Government’s decisions in court and shifting yet more power to the Executive. We  have the Overseas Operations (Service Personnel and Veterans) Bill, which creates a two-tier, “them and us” system of human rights. Now, having passed that, the Government are coming for our rights with a review of UK human rights legislation.Those on the Government Benches are fast moving from becoming a Government to becoming a regime. They want to stifle dissent, so that they are not accountable to the public. Our country — our economy, our politics and our media — is controlled by a small clique of individuals. Over the past 40 years, they have taken more power for themselves at the expense of our democracy. Now they are not even happy with us clinging on to the scraps we currently have.I have directed this speech at Government Members, but to those on my own Front Bench who have finally been brought to the right position of opposition, I say this: it should not have taken the police assault on people gathered peacefully in memory of Sarah Everard to see the assault on democracy that this Bill is. It is writ large, so let this be a wake-up call. We have never seen anything like this Government before.If the Bill goes through, anyone who values their democratic rights must get organised and fight back. I will stand with protesters, irrelevant of the laws passed by this place. I say to anyone in this place and outside who values democracy that we must create a democracy that is fit for purpose for the challenges we face — climate and ecological breakdown, the epidemic of inequality — ",25356,"Clive","Lewis","16/03/2021","Labour","Norwich South",3
"777","text34799","I beg to move,That this House calls for the Government to abandon its one-size-fits-all withdrawal of the Coronavirus Job Retention and Self-Employment Income Support Schemes, and instead offer targeted income support to businesses and self-employed people in those sectors of the economy that have been hardest hit by the virus and are most in need of continuing assistance, and in those areas of the country which have been placed under local restrictions due to rising rates of infection.Our country is in the grip of a jobs crisis — a crisis that will intensify if the Conservative Government do not change course. Between April and June this year, the number of people in work fell by the largest amount in over a decade. By July, there were nearly three quarters of a million fewer employees on the payroll than there were just four months earlier. We know that these are extraordinary times. That is why Labour has acted as a constructive Opposition, working with the Government, businesses and trade unions to do all we can to save lives and livelihoods. But it is not enough for the Government now to say simply that this is an unprecedented crisis and that only so much can be done to mitigate the damage. In their amendment to this Opposition day motion, the Conservatives maintain that“any deviation” — I repeat, any — “from this Government’s proposed plan will cause damage to the United Kingdom economy.”Some humility, willingness to listen and flexibility is desperately required here.Under this Government, the UK has suffered the highest number of excess deaths in Europe. It has experienced both the worst quarterly fall in GDP in Europe and the worst quarterly fall among all G7 nations. The evidence suggests that the number of job vacancies in the UK has fallen further than in any comparable economy and that it will take us many months to get back to pre-crisis levels.Our people have suffered a double whammy: a health crisis coupled with a jobs crisis, both made worse, I regret to say, by the Government’s unwillingness to listen, learn and accept that they do not always know best. But there is still time to change course. Around 4 million people are still furloughed under the Government’s coronavirus job retention scheme. Another 2.7 million people have so far made claims under the self-employment income support scheme, the second and final phase of which has just opened. Many more people have not yet had any support from this Government at all and have fallen through the gaps between the various schemes.",25618,"Anneliese","Dodds","09/09/2020","Labour/Co-operative","Oxford East",3
"778","text41174","On Saturday, my wife and I got our annual flu jabs. I hope you will indulge me for just a second, Mr Deputy Speaker, while I say that the GPs and nurses at our local surgery are doing an outstanding job. It was pre-booked and within two minutes we were in and out.I do not want to make you cry, Mr Deputy Speaker, but unfortunately I suffer quite badly with vaccines — when I had my yellow fever vaccine I thought my end had come. Does my right hon. Friend agree that people need to be aware of some of the side-effects of vaccines and be crystal clear on the symptoms of coronavirus, so that once they have had their vaccines, they may not necessarily seek covid tests? People should be absolutely clear on the three symptoms of covid.",24893,"Alec","Shelbrooke","05/10/2020","Conservative","Elmet and Rothwell",3
"779","text68499","Last week, the Chancellor spoke a lot about fairness and levelling with the British public, but does the Budget actually pass the fairness test? Even before the challenges of covid and Brexit, Hull had been hit hard by a decade of austerity after the global banking crisis, and that is why it was disappointing to see no real green industrial strategy, where the Humber could be central, and that the universal credit uplift was not made permanent to help hard-pressed families as council tax and other bills soar. There was also another real-terms pay cut for NHS staff, a £30 billion cut in day-to-day NHS spending from April, and still no sign of the Prime Minister’s talked-about clear plan for social care.Hull is the fourth-most deprived local authority area in the UK, always high in social and economic indices measuring disadvantage, so how is it fair, consistent or  logical that Hull is excluded from the list of 100 priority places for the community renewal fund while it achieves priority 1 status for the levelling-up fund? The Government say that they look at measuring unemployment, household income, productivity, skills and population density, but the criteria have not been published, and perhaps are still being cobbled together in Whitehall.This unfairness runs riot again with the towns fund. Of 45 towns and some cities chosen for funding, a disproportionate number — 40 — have a Tory MP. Hull was told that we are not eligible as we are a city. However, the city of Wolverhampton was awarded £25 million after electing two Conservative MPs, and last Thursday the Leader of the House confirmed that Hull, with three Labour MPs, will not be considered by Whitehall decision-makers even if we make a bid. That is not fairness. However, the winners from this gerrymandering should not celebrate too much as the towns fund is worth less than half the £2.4 billion that the Government had cut since 2010 from the funding of the 45 local authorities receiving it.Even for the north’s favoured areas these pots of levelling-up funding will not be transformational. The infrastructure bank in Leeds will only provide loans and finance on a scale two-thirds smaller than the £5 billion per year from the European Investment Bank that it replaces, and there is growing doubt about whether Transport for the North will have the finance and clout to deliver on its promises.There is just not enough pork in the barrel, and nothing like the sustained public and private investment that is needed for the real regeneration that we have seen over the last 40 years in places such as London docklands — all achieved without Whitehall insisting on permanent local government reorganisation. This was not a fair Budget for my constituents. Real investment in the Humber docklands seems no nearer.",11647,"Diana","R. Johnson","09/03/2021",NA,NA,3
"780","text45794","I recently had the honour of becoming the ambassador for BSC Multicultural Services in Ipswich, which as well as supporting our large and thriving Bangladeshi community, supports people from over 50 other nationalities. Throughout the covid-19 pandemic, it has provided invaluable work giving food parcels to the most needy from those communities, but right now its finances are under strain ever so slightly. I was wondering if the Minister could give both me and the other leaders of the group some reassurance about potential financial assistance to them.",25811,"Tom","Hunt","22/10/2020","Conservative","Ipswich",3
"781","text56655","As I have just said to my hon. Friend the Member for East Worthing and Shoreham (Tim Loughton), we would welcome the Welsh Government working in tandem with the UK Government to bring in a tiered system, so that in areas with a low incidence of the virus fewer restrictions are put in place. I believe that is an approach the Welsh Government are finally going to adopt. We look forward to sitting down and working with them.",11719,"David","Davies","16/12/2020","Conservative","Monmouth",2
"782","text28511","I am pleased to follow the hon. Member for Cities of London and Westminster (Nickie Aiken), but I was disappointed  that she struck a more partisan tone than other speakers have done today and perhaps did not recognise as fully as she might the contribution to the Bill that has been made by Members on the side of the House. I am glad that it has been acknowledged by others across the Chamber.I want to speak specifically on new clause 22, on access to public funds for survivors of domestic abuse. People are often surprised to discover that there is a large number of law-abiding, hard-working families in the UK, often with children born here, sometimes with children who are UK nationals, whose immigration status is subject to the no recourse to public funds condition. In the Liaison Committee on 27 May, I asked the Prime Minister about the position of a Pakistani-origin family in my constituency whose two children were both born in the UK. The father had stopped work because of the coronavirus lockdown, and the family were being forced into destitution because they had no recourse to public funds. The Prime Minister’s answer was that a family in that situation“should have support of one kind or another”,and I very much agree with that view. Unfortunately, the Government’s current policy does not deliver help to families in that situation. More than 3 million people have claimed universal credit since the beginning of March because their work has ended and they have not been eligible for one or another of the Government’s schemes. That vital safety net provided by universal credit is simply not available for people with no recourse to public funds, and both the Home Affairs and the Work and Pensions Committees have recommended unanimously that the no recourse to public funds restriction should be lifted for the duration of the current crisis. One of the points the Prime Minister made at the Liaison Committee was that he would find out how many people are in that position. Unfortunately, he has not been able to do so, because the Home Office does not know. It appears that the Home Office does not even have an estimate of how many there are. Fortunately, the Children’s Society has reported that there are more than 100,000 children in the UK whose parents have leave to remain but no recourse to public funds.Where someone is a victim of domestic abuse, having no recourse to public funds is catastrophic. Protections that the House supports for victims are simply not available. The barriers they face are generally insurmountable. Only 5% of refuge vacancies are accessible. The reason is that housing costs in a refuge are largely met through housing benefit. People with no recourse to public funds cannot claim housing benefit. As Women’s Aid points out, the options for a woman with no recourse to public funds and unable to access a refuge space are shocking: it is either homelessness or returning to the perpetrator.I welcome the fact that a small pilot is under way, but we know what the gap is. Anyone who came to the UK, other than on a spouse visa, cannot benefit from the domestic violence concession. The other people in this category need that help as well, and I urge the House to support new clause 22.",10596,"Stephen","Timms","06/07/2020","Labour","East Ham",3
